"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045005","DNA-templated DNA replication maintenance of fidelity","18/1387","69/18632",0.260869565217391,3.50434155669101,5.91042536168891,1.96089213578496e-06,8.78199549383694e-05,8.78199549383694e-05,"PARP1/MCM8/RAD51/TRAIP/FAM111B/GEN1/ZNF365/MMS22L/POLQ/BLM/DNA2/BARD1/TIMELESS/BRCA2/EXO1/RFWD3/RNASEH2A/TONSL",18
"GO:0051382","kinetochore assembly","12/1387","33/18632",0.363636363636364,4.8848397456905,6.33446579199426,2.24644309918225e-06,9.88434963640192e-05,9.88434963640192e-05,"CENPK/CENPE/CENPA/HJURP/CENPH/MIS18A/CENPF/CENPI/CENPN/DLGAP5/KNTC1/OIP5",12
"GO:0090231","regulation of spindle checkpoint","12/1387","33/18632",0.363636363636364,4.8848397456905,6.33446579199426,2.24644309918225e-06,9.88434963640192e-05,9.88434963640192e-05,"CDCA8/NDC80/CCNB1/AURKB/GEN1/BIRC5/SKA3/ZWINT/MAD2L1/SKA1/KNL1/INCENP",12
"GO:0000910","cytokinesis","34/1387","194/18632",0.175257731958763,2.35429132073228,5.3775043324332,2.37981634228335e-06,0.000103801380633855,0.000103801380633855,"CENPA/PLK1/ECT2/CEP55/CDCA8/KIF14/ANLN/KIF23/AURKB/CDC6/ZNF365/AURKA/NOX5/FSD1/BIRC5/PRC1/SPIRE2/KIF20B/E2F7/IQGAP3/SPAST/CKAP2/CIT/NUSAP1/ESPL1/STMN1/RAB11FIP4/SEPTIN3/E2F8/RACGAP1/INCENP/RTKN/KIF20A/KIF4A",34
"GO:0007492","endoderm development","16/1387","57/18632",0.280701754385965,3.77075348790144,5.94149340411079,2.53536085450898e-06,0.000109632500398423,0.000109632500398423,"HOXC11/COL5A1/MMP14/HMGA2/DKK1/FN1/MMP9/COL5A2/TBX20/COL11A1/ITGA4/APELA/INHBA/COL12A1/MMP8/ITGAV",16
"GO:0061640","cytoskeleton-dependent cytokinesis","26/1387","129/18632",0.201550387596899,2.70748869625481,5.51894838130971,2.59029183144214e-06,0.000111050460055673,0.000111050460055673,"CENPA/PLK1/ECT2/CEP55/CDCA8/ANLN/KIF23/AURKB/ZNF365/NOX5/BIRC5/SPIRE2/KIF20B/IQGAP3/SPAST/CKAP2/CIT/NUSAP1/ESPL1/STMN1/SEPTIN3/RACGAP1/INCENP/RTKN/KIF20A/KIF4A",26
"GO:0006270","DNA replication initiation","13/1387","39/18632",0.333333333333333,4.47776976688296,6.16571023531822,2.64713264040839e-06,0.000112525570544817,0.000112525570544817,"PRIM2/MCM6/DTL/CDC6/TOPBP1/MCM10/ORC6/TICRR/MCM4/CDT1/CDC45/ORC1/MCM2",13
"GO:0002251","organ or tissue specific immune response","15/1387","51/18632",0.294117647058824,3.95097332372026,5.98467463070185,2.73188808384847e-06,0.000115152526290621,0.000115152526290621,"RNASE2/H2BC7/H2BC12L/H2BC18/H2BC26/H2BC9/H2BC12/H2BC6/H2BC17/CAMP/H2BC4/H2BC21/H2BC8/H2BC11/H2BC5",15
"GO:0045132","meiotic chromosome segregation","18/1387","71/18632",0.253521126760563,3.40562771002366,5.75945806874788,3.06527858770575e-06,0.0001281286449661,0.0001281286449661,"SGO2/NDC80/PTTG1/SGO1/MAPK15/TTK/NCAPH/MND1/SKA3/ZWINT/NUF2/MEIKIN/ESPL1/TRIP13/SMC4/TEX11/SKA1/KNL1",18
"GO:0010972","negative regulation of G2/M transition of mitotic cell cycle","18/1387","72/18632",0.25,3.35832732516222,5.68598957936149,3.80531456779746e-06,0.000157747585719604,0.000157747585719604,"DBF4/RAD21/CDK1/PLK1/DTL/CHEK1/AURKB/CDC6/TOPBP1/BLM/RFPL1/CLSPN/PKMYT1/BARD1/TICRR/CDC7/ORC1/BRSK1",18
"GO:0040029","epigenetic regulation of gene expression","50/1387","345/18632",0.144927536231884,1.9468564203839,5.03439349463394,4.26112480758827e-06,0.000175195098646416,0.000175195098646416,"MOV10L1/BEND3/H3C14/H2AC13/CENPA/H3C8/LMNB2/H3C10/TET3/SMARCA4/CBX3/CBX2/CHEK1/H2AC6/H2AC20/SPOCD1/TDG/HMGA2/H2AC17/MIS18A/LMNB1/KDM1B/H3C6/H1-2/H3C4/CDKN2B-AS1/DNMT3A/ATAD2/H2AC25/SUV39H2/H3C15/H2AC19/H2AC15/H3C2/HELLS/LHX2/H2AC11/EZH2/MAEL/BMI1/H2AC7/H2AZ1/H2AC18/WT1/MACROH2A2/H2AC8/UHRF1/APP/OIP5/TFAP2C",50
