ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0006260,DNA replication,63/1387,304/16154,0.207236842,2.413629378,7.625641958,3.19E-11,3.07E-09,3.07E-09,PARP1/TONSL/RAD51/CDK1/POLE2/CDC25A/STRA8/RECQL4/TRAIP/MCM2/GINS1/CDC6/BARD1/DNA2/RFC4/USP43/FEN1/DSCC1/ZNF365/CHEK1/TIMELESS/BLM/PRIM2/ESCO2/DBF4/POLQ/ORC6/RFWD3/CDC45/CHAF1B/MMS22L/TOPBP1/TK1/FBXO5/FAM111B/CDC7/EXO1/E2F7/BRCA2/RMI2/MCM4/GINS2/MCM10/ORC1/GEN1/WDHD1/DTL/TICRR/E2F8/RNASEH2A/MCM8/TYMS/LIG1/JADE3/CDT1/RUVBL1/ATAD5/CCNA2/RMI1/PCLAF/GINS4/MCM6/RFC3,63
GO:0140013,meiotic nuclear division,40/1387,148/16154,0.27027027,3.147762037,8.044411957,3.24E-11,3.07E-09,3.07E-09,MOV10L1/RAD51/SGO1/STRA8/FBXO43/HSF2BP/SKA1/NCAPH/NDC80/FIGNL1/RAD21/MAPK15/SPIRE2/MAEL/TTK/BRIP1/FBXO5/RAD51AP1/RAD54B/NUF2/TEX11/TOP2A/SKA3/SGO2/BRCA2/TDRKH/RAD1/CCNA1/MND1/ZWINT/KNL1/TRIP13/SMC4/MEIKIN/MYBL1/ESPL1/RAD54L/RMI1/PTTG1/INCENP,40
GO:0006334,nucleosome assembly,30/1387,91/16154,0.32967033,3.83957787,8.324915595,4.39E-11,4.08E-09,4.08E-09,H3C8/H4C5/H2BC6/H3C6/H2BC7/H1-5/H2BC9/H2BC11/H3C10/H2BC21/H3C4/ATAD2/CHAF1B/H4C15/MACROH2A2/H1-2/H3C14/SOX9/H3C2/H4C14/H4C4/H4C9/H4C8/ASF1B/H2BC4/H3C15/TSPYL5/H2BC8/H1-4/H1-3,30
GO:0051321,meiotic cell cycle,55/1387,253/16154,0.217391304,2.531895552,7.526548882,8.59E-11,7.84E-09,7.84E-09,PKMYT1/MOV10L1/RAD51/SGO1/CDC25A/STRA8/XRCC2/CDC25C/FBXO43/HSF2BP/SKA1/NCAPH/ASPM/NDC80/MKI67/SMC1B/FIGNL1/RAD21/MAPK15/SPIRE2/MAEL/TTK/BRIP1/FBXO5/RAD51AP1/RAD54B/NUF2/TEX11/TOP2A/EXO1/NCAPD2/SKA3/SGO2/BRCA2/TDRKH/RAD1/CCNA1/MND1/ZWINT/KNL1/PRR19/TRIP13/SMC4/AURKA/MEIKIN/MYBL1/ESPL1/CDC20/WBP2NL/RAD54L/RMI1/CDCA2/NEK2/PTTG1/INCENP,55
GO:0045786,negative regulation of cell cycle,69/1387,357/16154,0.193277311,2.251046634,7.32552892,9.99E-11,8.95E-09,8.95E-09,PKMYT1/SPDL1/RAD51/CDK1/RFPL1/BUB1/BRSK1/BIRC5/CDCA8/BUB1B/FBXO43/SKA1/CDC6/BARD1/DNA2/KNTC1/RFC4/NUPR2/HASPIN/MAD2L1/CHEK1/TIMELESS/NDC80/CLSPN/CCNF/BLM/SPC24/INHBA/DBF4/RFWD3/CDC45/CCNB1/TOPBP1/RAD21/CDKN2A/TTK/BRIP1/FBXO5/E2F1/NUF2/CDC7/E2F7/PLK1/SKA3/BRCA2/RAD1/INTS7/ORC1/GEN1/ZWINT/DTL/KNL1/TRIP13/TICRR/E2F8/CENPF/DSP/SPC25/CDT1/AURKB/ESPL1/PRKDC/CDC20/BMP7/TIPRL/NEK2/ZWILCH/INCENP/RFC3,69
GO:0044786,cell cycle DNA replication,19/1387,40/16154,0.475,5.532191781,8.795393707,1.11E-10,9.80E-09,9.80E-09,RAD51/MCM2/GINS1/DNA2/FEN1/BLM/DBF4/CDC45/TK1/FBXO5/CDC7/E2F7/BRCA2/MCM4/E2F8/LIG1/CDT1/ATAD5/MCM6,19
GO:0034728,nucleosome organization,32/1387,107/16154,0.299065421,3.483131077,7.897930313,1.76E-10,1.53E-08,1.53E-08,H3C8/H4C5/H2BC6/H3C6/H2BC7/H1-5/H2BC9/HMGA1/H2BC11/H3C10/H2BC21/H3C4/ATAD2/CHAF1B/H4C15/MACROH2A2/H1-2/H3C14/SOX9/H3C2/H2AC25/H4C14/H4C4/H4C9/H4C8/ASF1B/H2BC4/H3C15/TSPYL5/H2BC8/H1-4/H1-3,32
GO:0045930,negative regulation of mitotic cell cycle,49/1387,220/16154,0.222727273,2.594042079,7.295707354,3.80E-10,3.23E-08,3.23E-08,PKMYT1/SPDL1/CDK1/RFPL1/BUB1/BRSK1/BIRC5/CDCA8/BUB1B/SKA1/CDC6/BARD1/KNTC1/HASPIN/MAD2L1/CHEK1/TIMELESS/NDC80/CLSPN/BLM/SPC24/INHBA/DBF4/RFWD3/CCNB1/TOPBP1/RAD21/TTK/FBXO5/NUF2/CDC7/E2F7/PLK1/SKA3/ORC1/GEN1/ZWINT/DTL/KNL1/TRIP13/TICRR/CENPF/SPC25/AURKB/PRKDC/CDC20/BMP7/ZWILCH/INCENP,49
GO:0051988,regulation of attachment of spindle microtubules to kinetochore,14/1387,23/16154,0.608695652,7.089307545,8.956119322,4.33E-10,3.62E-08,3.62E-08,CDK1/BIRC5/CDCA8/KNSTRN/RCC2/KNTC1/CCNB1/RACGAP1/SPAG5/ECT2/AURKB/NEK2/ZWILCH/INCENP,14
GO:0033044,regulation of chromosome organization,52/1387,244/16154,0.213114754,2.482087771,7.149117527,5.95E-10,4.89E-08,4.89E-08,SPDL1/PIF1/PARP1/CDK1/BUB1/BIRC5/CDCA8/BUB1B/SKA1/CDC6/NCAPH/KNTC1/TACC3/NEK6/FEN1/HASPIN/MAD2L1/NDC80/SPC24/CENPE/GNL3L/CCNB1/RAD21/MAPK15/TTK/FBXO5/NUF2/NCAPD2/PLK1/SKA3/RMI2/PKIB/CTPS1/UBE2C/DLGAP5/GEN1/ZWINT/KNL1/SMARCA4/TRIP13/CCT6A/CENPF/SMC4/SPC25/AURKB/NCAPG/ESPL1/RUVBL1/CDC20/NEK2/ZWILCH/INCENP,52
GO:0007346,regulation of mitotic cell cycle,80/1387,460/16154,0.173913043,2.025516441,6.838697738,6.93E-10,5.53E-08,5.53E-08,PKMYT1/SPDL1/CKS2/CDK1/RFPL1/CDC25A/BUB1/CDC25C/BRSK1/MTBP/BIRC5/CDCA8/BUB1B/FBXO43/FOXM1/SKA1/CDC6/BARD1/RCC2/KNTC1/NEK6/HASPIN/ANLN/MAD2L1/CHEK1/TIMELESS/NDC80/RCC1/CLSPN/BLM/MKI67/RRM2/SPC24/INHBA/CENPE/DBF4/CCNE1/RFWD3/ASAH2/CCNB1/TOPBP1/RAD21/CDKN2A/TTK/KIF14/FBXO5/E2F1/NUF2/CDC7/E2F7/PLK1/CCNE2/SKA3/APP/UBE2C/EPGN/ORC1/DLGAP5/GEN1/ZWINT/DTL/KNL1/SMARCA4/TRIP13/TICRR/CENPF/AURKA/SPC25/AURKB/ESPL1/NUSAP1/KIF20B/PRKDC/CDC20/BMP7/CDCA2/NEK2/ZWILCH/INCENP/STIL,80
GO:1905820,positive regulation of chromosome separation,16/1387,31/16154,0.516129032,6.011210084,8.558924976,6.95E-10,5.53E-08,5.53E-08,BIRC5/CDCA8/SKA1/NCAPH/NCAPG2/MAPK15/PLK1/SKA3/UBE2C/DLGAP5/SMC4/AURKB/NCAPG/ESPL1/CDC20/INCENP,16
GO:0002227,innate immune response in mucosa,15/1387,28/16154,0.535714286,6.239314039,8.503717182,1.21E-09,9.45E-08,9.45E-08,H2BC6/H2BC26/H2BC7/H2BC9/H2BC11/H2BC21/H2BC12L/H2BC18/H2BC5/H2BC17/H2BC4/RNASE2/CAMP/H2BC8/H2BC12,15
GO:1902850,microtubule cytoskeleton organization involved in mitosis,38/1387,158/16154,0.240506329,2.801109762,6.97239071,3.75E-09,2.89E-07,2.89E-07,SPDL1/CENPA/CENPH/CDK1/WDR62/KIF23/BIRC5/CDCA8/PRC1/UHRF1/TACC3/NEK6/NDC80/RCC1/PSRC1/CENPE/SPAST/CCNB1/KIF11/TTK/NUF2/RACGAP1/PLK1/FSD1/KIF4A/DLGAP5/TPX2/STMN1/AURKA/SPC25/AURKB/ESPL1/NUSAP1/SAPCD2/INCENP/KIF15/KIFC1/STIL,38
GO:0043588,skin development,43/1387,194/16154,0.221649485,2.581489382,6.791557651,5.25E-09,3.98E-07,3.98E-07,COL5A1/DLX3/POU2F3/WNT5A/EVPL/ST14/ALOXE3/TMEM79/CYP27B1/TGFB2/ITGA2/KRT6A/INHBA/LIPK/COL1A1/SPRR1B/MACROH2A2/SPRR3/COL3A1/GRHL2/ETV4/CDH3/GAL/KRT75/SOX9/IVL/LSR/HPSE/CLDN1/KRT16/COL5A2/DSP/PKP3/ABCA12/CASP14/KRT86/CDH11/TGM3/CDSN/S100A7/KRT81/VDR/OPN3,43
GO:0006310,DNA recombination,60/1387,324/16154,0.185185185,2.156799915,6.446277323,9.05E-09,6.76E-07,6.76E-07,PGBD5/PIF1/PARP1/TONSL/APEX2/RAD51/H1-5/XRCC2/RECQL4/MCM2/UHRF1/HSF2BP/BARD1/NCAPH/FEN1/ZNF365/CHEK1/TIMELESS/BLM/POLQ/FANCB/TNFSF4/RFWD3/CDC45/FIGNL1/MMS22L/H1-2/TOPBP1/RAD21/PARPBP/BRIP1/RAD51AP1/RAD54B/TEX11/TOP2A/CDC7/EXO1/PLK1/HMGB3/BRCA2/RMI2/MCM4/GINS2/HELLS/GEN1/MND1/TRIP13/SMC4/MCM8/ACTR2/LIG1/KPNA2/RUVBL1/PRKDC/RAD54L/RMI1/H1-4/H1-3/GINS4/MCM6,60
GO:0033260,nuclear DNA replication,16/1387,36/16154,0.444444444,5.176319795,7.687906821,1.12E-08,8.21E-07,8.21E-07,RAD51/MCM2/GINS1/DNA2/FEN1/BLM/DBF4/CDC45/TK1/CDC7/BRCA2/MCM4/LIG1/CDT1/ATAD5/MCM6,16
GO:0051984,positive regulation of chromosome segregation,14/1387,28/16154,0.5,5.823359769,7.828598752,1.41E-08,1.02E-06,1.02E-06,CDK1/BIRC5/CDCA8/SKA1/CDC6/RCC2/NCAPH/NCAPG2/CCNB1/SKA3/SMC4/AURKB/NCAPG/INCENP,14
GO:0034502,protein localization to chromosome,29/1387,108/16154,0.268518519,3.127359876,6.798109212,1.91E-08,1.36E-06,1.36E-06,SPDL1/H4C5/CENPA/PARP1/TONSL/CDK1/MTBP/UHRF1/H2BC11/RCC2/KNTC1/H2AC8/HASPIN/GNL3L/H4C15/MMS22L/TOPBP1/RAD21/TTK/LEF1/PLK1/H4C14/H4C4/KNL1/H4C9/MCM8/H4C8/AURKB/ZWILCH,29
GO:1901989,positive regulation of cell cycle phase transition,27/1387,99/16154,0.272727273,3.176378056,6.656799407,4.10E-08,2.88E-06,2.88E-06,CDK1/CDC25A/CDC25C/MTBP/BIRC5/SKA1/CDC6/RCC2/SACK1D/RRM2/EZH2/CCNE1/CCNB1/MAPK15/FBXO5/CDC7/PLK1/CCNE2/SKA3/UBE2C/DLGAP5/DTL/PKP3/ESPL1/ATAD5/CDC20/STIL,27
GO:0051231,spindle elongation,9/1387,12/16154,0.75,8.735039654,8.214727956,4.29E-08,2.98E-06,2.98E-06,KIF23/BIRC5/CDCA8/PRC1/KIF11/RACGAP1/KIF4A/AURKB/INCENP,9
GO:0000076,DNA replication checkpoint signaling,13/1387,26/16154,0.5,5.823359769,7.543358757,4.68E-08,3.20E-06,3.20E-06,CDC6/DNA2/RFC4/TIMELESS/CLSPN/DBF4/CDC45/TOPBP1/CDC7/ORC1/TICRR/CDT1/RFC3,13
GO:0007052,mitotic spindle organization,32/1387,132/16154,0.242424242,2.823447161,6.44674474,5.15E-08,3.48E-06,3.48E-06,CENPH/WDR62/KIF23/BIRC5/CDCA8/PRC1/UHRF1/TACC3/NEK6/NDC80/RCC1/PSRC1/CENPE/SPAST/CCNB1/KIF11/TTK/NUF2/RACGAP1/PLK1/FSD1/KIF4A/DLGAP5/TPX2/STMN1/AURKA/SPC25/AURKB/INCENP/KIF15/KIFC1/STIL,32
GO:0010389,regulation of G2/M transition of mitotic cell cycle,26/1387,94/16154,0.276595745,3.221433064,6.619772701,5.31E-08,3.54E-06,3.54E-06,PKMYT1/CDK1/RFPL1/CDC25A/CDC25C/BRSK1/CDC6/BARD1/RCC2/CHEK1/CLSPN/BLM/DBF4/CCNB1/TOPBP1/RAD21/KIF14/FBXO5/CDC7/PLK1/ORC1/DTL/TICRR/CENPF/AURKA/AURKB,26
GO:0001501,skeletal system development,58/1387,325/16154,0.178461538,2.078491487,6.01936047,6.23E-08,4.09E-06,4.09E-06,NOTUM/WNT7B/COL5A1/DLX3/FBN2/WNT5A/HOXB9/SRD5A1/SOX11/HAPLN1/HOXD13/SULF1/NKX3-2/PHEX/MMP14/ITGB8/RUNX2/DLX5/SRD5A2/TFAP2A/TGFB2/COMP/MATN3/ACAN/CCN4/P3H1/EPYC/ARSL/COL1A1/MMP13/COL10A1/RUNX1/BMP8A/AGRN/CHI3L1/COL3A1/TRPS1/CHRDL2/MDK/DLL3/LOXL2/HOXC11/SOX9/COL13A1/SCX/HOXA11/HAPLN4/RAB23/PAX1/PITX1/MBOAT2/GREM1/ADAMTS7/HMGA2/CDH11/BMP7/COL11A1/TRPV4,58
GO:0030261,chromosome condensation,16/1387,40/16154,0.4,4.658687815,7.10022906,6.90E-08,4.47E-06,4.47E-06,CDK1/H1-5/NCAPH/NCAPG2/CCNB1/H1-2/TOP2A/NCAPD2/PLK1/CTPS1/SMC4/HMGA2/NCAPG/NUSAP1/H1-4/H1-3,16
GO:0070828,heterochromatin organization,43/1387,212/16154,0.202830189,2.362306322,6.119134365,8.19E-08,5.24E-06,5.24E-06,H3C8/CENPA/MOV10L1/H3C6/CBX2/CDK1/H2AC13/LMNB2/UHRF1/CBX3/CDKN2B-AS1/H3C10/H2AC17/BEND3/H2AC8/H2AZ1/H3C4/EZH2/H2AC20/DNMT3A/LMNB1/SUV39H2/H2AC11/MACROH2A2/H1-2/MAEL/SPOCD1/H2AC15/LOXL2/H2AC19/BMI1/H3C14/MIS18A/HELLS/H3C2/H2AC25/SMARCA4/H2AC7/H2AC18/HMGA2/H3C15/H2AC6/OIP5,43
GO:0000086,G2/M transition of mitotic cell cycle,31/1387,128/16154,0.2421875,2.820689888,6.337924852,8.50E-08,5.37E-06,5.37E-06,PKMYT1/CDK1/RFPL1/CDC25A/CDC25C/BRSK1/BIRC5/FOXM1/CDC6/BARD1/RCC2/CHEK1/CLSPN/BLM/DBF4/MELK/CCNB1/TOPBP1/RAD21/KIF14/FBXO5/CDC7/PLK1/ORC1/DTL/TICRR/CENPF/AURKA/AURKB/CCNA2/NEK2,31
