"Gene","Drug","Drug_Concept_ID","Interaction_Score","Interaction_Type","Directionality","Sources","PubMed_IDs","Program"
"AURKB","LAPATINIB","rxcui:480167",0.0200575935935137,NA,NA,"DTC",NA,"Proliferation"
"AURKB","CHEMBL:CHEMBL546797","chembl:CHEMBL546797",0.0181771941941218,NA,NA,"DTC",NA,"Proliferation"
"AURKB","NERVIANO","chembl:CHEMBL1172241",0.581670214211898,NA,NA,"DTC","20621725","Proliferation"
"AURKB","COPANLISIB","rxcui:1945077",0.0612284436012524,NA,NA,"CIViC","36169922","Proliferation"
"AURKB","TAK-901","chembl:CHEMBL3544932",0.581670214211898,"inhibitor","INHIBITORY","ChEMBL",NA,"Proliferation"
"AURKB","BARASERTIB","ncit:C62502",0.423032883063199,"inhibitor; inhibitor","INHIBITORY; INHIBITORY","DTC; MyCancerGenome; GuideToPharmacology; CIViC; TALC; ChEMBL","20684549; 36169922","Proliferation"
"AURKB","CENISERTIB","chembl:CHEMBL1967878",0.00505800186271216,"inhibitor","INHIBITORY","ChEMBL",NA,"Proliferation"
"AURKB","TAK-632","iuphar.ligand:10387",0.0727087767764873,"inhibitor","INHIBITORY","GuideToPharmacology",NA,"Proliferation"
"AURKB","BARASERTIB-HQPA","iuphar.ligand:5663",0.1057582207658,"inhibitor","INHIBITORY","DTC; GuideToPharmacology; TTD","25036791","Proliferation"
"AURKB","KW-2449","iuphar.ligand:5691",0.232668085684759,"inhibitor; inhibitor","INHIBITORY; INHIBITORY","GuideToPharmacology; ChEMBL",NA,"Proliferation"
"AURKB","COMPOUND 25 [PMID: 20855207]","iuphar.ligand:8159",0.193890071403966,"inhibitor","INHIBITORY","GuideToPharmacology",NA,"Proliferation"
"AURKB","AMG-900","iuphar.ligand:8060",0.581670214211898,"inhibitor; inhibitor","INHIBITORY; INHIBITORY","MyCancerGenome; GuideToPharmacology; ClearityFoundationClinicalTrial; TALC; ChEMBL",NA,"Proliferation"
"AURKB","CP-547632","iuphar.ligand:7881",0.0135272142839976,NA,NA,"DTC",NA,"Proliferation"
"AURKB","SORAFENIB","rxcui:495881",0.00581670214211898,NA,NA,"DTC",NA,"Proliferation"
"AURKB","EP-0042","drugbank:DB18120",0.193890071403966,"inhibitor","INHIBITORY","GuideToPharmacology",NA,"Proliferation"
"AURKB","ZM447439","iuphar.ligand:8353",0.0684317899072821,"inhibitor","INHIBITORY","DTC; GuideToPharmacology",NA,"Proliferation"
"AURKB","HESPERADIN","iuphar.ligand:8354",0.0218126330329462,"inhibitor; inhibitor","INHIBITORY; INHIBITORY","DTC; GuideToPharmacology","19035792","Proliferation"
"AURKB","BAY 61-3606","iuphar.ligand:9693",0.0145417553552974,NA,NA,"DTC",NA,"Proliferation"
"AURKB","GSK269962A","iuphar.ligand:8037",0.0126450046567804,NA,NA,"DTC",NA,"Proliferation"
